song,artists
Easy On Me,Adele
Stay,The Kid LAROI & Justin Bieber
Industry Baby,Lil Nas X & Jack Harlow
All Too Well (Taylor's Version),Taylor Swift
Oh My God,Adele
Shivers,Ed Sheeran
Heat Waves,Glass Animals
Bad Habits,Ed Sheeran
Need To Know,Doja Cat
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Cold Heart (PNAU Remix),Elton John & Dua Lipa
All I Want For Christmas Is You,Mariah Carey
Fancy Like,Walker Hayes
Rockin' Around The Christmas Tree,Brenda Lee
Good 4 U,Olivia Rodrigo
Essence,Wizkid Featuring Justin Bieber & Tems
Way 2 Sexy,Drake Featuring Future & Young Thug
I Drink Wine,Adele
You Right,Doja Cat & The Weeknd
Jingle Bell Rock,Bobby Helms
One Right Now,Post Malone & The Weeknd
Beggin',Maneskin
My Little Love,Adele
Levitating,Dua Lipa
Kiss Me More,Doja Cat Featuring SZA
Can I Get It,Adele
A Holly Jolly Christmas,Burl Ives
If I Didn't Love You,Jason Aldean & Carrie Underwood
My Universe,Coldplay x BTS
It's The Most Wonderful Time Of The Year,Andy Williams
Save Your Tears,The Weeknd & Ariana Grande
To Be Loved,Adele
Knife Talk,Drake Featuring 21 Savage & Project Pat
Better Days,NEIKED X Mae Muller X Polo G
Buy Dirt,Jordan Davis Featuring Luke Bryan
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Love Nwantiti (Ah Ah Ah),CKay
Ghost,Justin Bieber
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Last Christmas,Wham!
Strangers By Nature,Adele
Thats What I Want,Lil Nas X
Girls Want Girls,Drake Featuring Lil Baby
Cry Your Heart Out,Adele
Happier Than Ever,Billie Eilish
Cold As You,Luke Combs
Pepas,Farruko
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
Hold On,Adele
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
abcdefu,GAYLE
You Should Probably Leave,Chris Stapleton
All Night Parking (Interlude),Adele With Erroll Garner
Same Boat,Zac Brown Band
Woman Like Me,Adele
Love Is A Game,Adele
Have Mercy,Chloe
Wild Side,Normani Featuring Cardi B
One Mississippi,Kane Brown
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
Already Dead,Juice WRLD
Sand In My Boots,Morgan Wallen
Super Gremlin,Kodak Black
Family Ties,Baby Keem & Kendrick Lamar
Gyalis,Capella Grey
No Love,Summer Walker & SZA
Whiskey And Rain,Michael Ray
Bad Man (Smooth Criminal),Polo G
Knowing You,Kenny Chesney
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Big Energy,Latto
God's Country,State Of Mine & Drew Jacobs
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
Tequila Little Time,Jon Pardi
Freedom Was A Highway,Jimmie Allen & Brad Paisley
'Til You Can't,Cody Johnson
Fair Trade,Drake Featuring Travis Scott
Bubbly,Young Thug With Drake & Travis Scott
Woman,Doja Cat
Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis
Doin' This,Luke Combs
For Tonight,Giveon
Moth To A Flame,Swedish House Mafia & The Weeknd
Enemy,Imagine Dragons X JID
Red (Taylor's Version),Taylor Swift
Memory I Don't Mess With,Lee Brice
State Of Grace (Taylor's Version),Taylor Swift
Heart On Fire,Eric Church
Ex For A Reason,Summer Walker & JT
Poke It Out,Wale Featuring J. Cole
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Volvi,Aventura x Bad Bunny
Maybach,42 Dugg Featuring Future
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Too Easy,Gunna & Future
Escape Plan,Travis Scott
Who's In Your Head,Jonas Brothers
Jugaste y Sufri,Eslabon Armado Featuring DannyLux
Take My Breath,The Weeknd
